Botanica Plant Ordering Spreadsheet,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,Size,Nur.,Quantity,Boyd,Carter Road,Michaels,Mcdougald,Mulvehill,,,,,,
Ficus (Alii-Braid),"10""",,,,,,,,,,,,,
Ficus (Alii-Braid),"14""",,,,,,,,,,,,,
Ficus (Lyrata Bush),"10""",,,,,,,,,,,,,
Ficus (Lyrata Bush),"14""",,,,,,,,,,,,,
Ficus (Lyrata Bush),"17""",,,,,,,,,,,,,
Ficus (Lyrata Standard),"10""",,,,,,,,,,,,,
Ficus (Lyrata Standard),"14""",,,,,,,,,,,,,
Ficus (Lyrata Standard),"17""",,,,,76.00,,,,,,,,
Philodendron,"10""",,,,,,,,,,,,,
Philodendron,"14""",,,,,,,,,,,,,
Philodendron (Congo Rojo),"10""",,,,,,,,,,,,,
Philodendron (Congo Rojo),"14""",,,,,,,,,,,,,
Philodendron (Split Leaf),"10""",,,,,,,,,,,,,
Philodendron (Split Leaf),"14""",,,,,,,,,,,,,
Ponytail Palm,"10""",,,,17.00,,,,,,,,,
Ponytail Palm,"14""",,,,,,,,,,,,,
Pothos (Golden),"6""",,,,,,,,,,,,,
Pothos (Golden),"8""",,,,,,,,,,,,,
Pothos (Golden),"10""",,,,,,,,,,,,,
Pothos (Jade),"6""",,,,,,,,,,,,,
Pothos (Jade),"8""",,,,,,,,,,,,,
Pothos (Neon),"6""",,,,,,,,,,,,,
Pothos (Silver Satin),"6""",,,,,,,,,,,,,
Pothos (Totem),"10""",,,,,,,,,,,,,
Pothos (Totem),"14""",,,,,,,,,,,,,
Sansevaria (Black Coral),"6""",,,,,,,,,,,,,
Sansevaria (Futura Superba),"6""",,,5.50,,,,,,,,,,
Sansevaria (Laurentii),"6""",,,5.50,,5.00,,3.25,,,,,,
Sansevaria (Laurentii),"10""",,,10.00,9.50,,,,,,,,,
Sansevaria (Laurentii),"14""",,,35.00,,,,,,,,,,
Sansevaria (Zeylanica),"6""",,,5.50,,5.00,,3.25,,,,,,
Sansevaria (Zeylanica),"10""",,,,,,,,,,,,,
Sansevaria (Zeylanica),"14""",,,35.00,27.50,,,,,,,,,
